"ID","A_WT","B_WT","C_WT","D_WT","A_KO1","B_KO1","C_KO1","D_KO1","padj","log2FoldChange","pvalue","foldChange","log10padj"
"KCTD13",492.734421550632,491.391795136079,470.502844763,527.550721494882,504.45734856615,468.225873037981,402.048541575754,452.530698027788,0.732164712788962,-0.118880814738151,0.241892752045965,0.920901772454618,0.135391206088645
"IDE",612.991418602947,671.533255825878,910.620965695905,791.326082242324,824.870917215859,682.164748895014,825.161129748872,1000.86744473714,0.800372785729387,0.157474105010731,0.341027954291964,1.11533268421272,0.0967076866631238
"AFMID",255.413091084561,308.052557037585,428.14838124226,324.646597843005,263.869997711525,310.586701353851,377.321182526676,450.492271460095,0.935724667676124,0.0907892979858854,0.680042099374404,1.06495265835436,0.0288519214536076
"GTF3C2",2103.96533780907,2146.77456703701,2248.4695634271,2198.12800622868,2251.76456030297,2168.47693905967,2135.71115935002,2280.99932924818,0.930440671146558,0.022155848218144,0.666644121635741,1.0154757924817,0.0313113141131508
"STPG1",224.550675911843,326.173295686855,441.95961934685,268.606411310581,216.19600652835,259.916967598238,304.05493349237,290.475785896215,0.777166035481268,-0.236637225157826,0.303826460512696,0.848721291241422,0.109486187646861
"SART1",1748.51545271639,1299.36355373293,1494.37596291653,1607.77362741297,1671.91578381924,1582.02168725859,1580.71932291515,1455.43656933262,0.953856557964845,0.0323751404282338,0.759495836307315,1.02269442474389,0.0205169300843578
"DCLK1",8095.53076616774,6664.16811971967,4791.57887308543,6641.7283142048,8141.1655176291,7982.35972331484,7264.34859175144,6929.63111687147,0.638813140411973,0.211048543692764,0.162090373324869,1.15752916478797,0.194626158986725
"KIF18A",351.193000241272,478.600685501301,459.453854279329,366.193632686008,587.609658769362,541.415488462755,499.12632154621,396.473967416238,0.509010436662757,0.290033219234689,0.0834965558825625,1.22266843030976,0.293273312872324
"HERC2P7",114.935890988053,130.042947953583,127.984139769192,91.789960699659,83.1523102032116,121.982692374624,87.0036707282384,91.7291955461733,0.678476420231854,-0.273355139974094,0.19522359069091,0.827393116383497,0.168465241211523
"TANC1",323.523248707111,327.239221489753,433.672876484096,347.835640546076,771.653438685804,466.349216232217,441.429150431694,536.10618730319,0.068466920745086,0.627534549803415,0.00220764031887126,1.54492258747495,1.16451920380333
